id,d,lambda,m,v,e,cu,e/cu,g/cu,tp/d,tt,ike,cup,ke/cup,v2,tp
318,0.08,0.2,0.5,15,2500,5,500,166.66666669999998,1.4021,0.012759999999999999,56.25,2.010619298,27.97645484,225,0.11216799999999999
151,0.04,0.1,0.2,5,200,1,200,66.66666667,3.4227,0.05186,2.5,0.050265482,49.73591972,25,0.136908
262,0.04,0.2,0.2,5,200,1,200,66.66666667,2.4494,0.0363,2.5,0.050265482,49.73591972,25,0.097976
159,0.08,0.1,0.5,10,200,1,200,66.66666667,3.5581,0.0633,25.0,0.40212386,62.16989965,100,0.284648
38,0.04,0.0,0.1,5,200,1,200,66.66666667,3.6874,0.059179999999999996,1.25,0.050265482,24.86795986,25,0.147496
151,0.04,0.1,0.2,5,200,1,200,66.66666667,3.4227,0.05186,2.5,0.050265482,49.73591972,25,0.136908
151,0.04,0.1,0.2,5,200,1,200,66.66666667,3.4227,0.05186,2.5,0.050265482,49.73591972,25,0.136908
150,0.04,0.1,0.1,10,200,1,200,66.66666667,5.1299,0.045939999999999995,5.0,0.050265482,99.47183943,100,0.20519600000000002
262,0.04,0.2,0.2,5,200,1,200,66.66666667,2.4494,0.0363,2.5,0.050265482,49.73591972,25,0.097976
159,0.08,0.1,0.5,10,200,1,200,66.66666667,3.5581,0.0633,25.0,0.40212386,62.16989965,100,0.284648
149,0.04,0.1,0.1,5,200,1,200,66.66666667,1.9135,0.02758,1.25,0.050265482,24.86795986,25,0.07654
152,0.04,0.1,0.2,10,200,1,200,66.66666667,9.7957,0.08736000000000001,10.0,0.050265482,198.9436789,100,0.391828
287,0.04,0.2,0.2,20,2000,10,200,66.66666667,3.4234,0.01316,40.0,0.502654825,79.57747155,400,0.136936
67,0.04,0.0,0.5,15,2000,10,200,66.66666667,12.7455,0.06736,56.25,0.502654825,111.90581940000001,225,0.50982
176,0.04,0.1,0.2,20,2000,10,200,66.66666667,4.6347,0.01816,40.0,0.502654825,79.57747155,400,0.185388
289,0.04,0.2,0.5,15,2000,10,200,66.66666667,4.5717,0.0229,56.25,0.502654825,111.90581940000001,225,0.182868
179,0.04,0.1,0.5,20,2000,10,200,66.66666667,10.5663,0.0419,100.0,0.502654825,198.9436789,400,0.422652
283,0.04,0.2,0.1,15,2000,10,200,66.66666667,1.3655,0.0059,11.25,0.502654825,22.38116387,225,0.05462
