,id,d,lambda,m,v,e,cu,e/cu,g/cu,tp/d,tt,ike,cup,ke/cup,v2,tp
39,95,0.08,0.0,0.2,20,7.824046010856292,1.6094379124341003,500,166.66666669999998,2.5839999999999996,0.026660000000000003,40.0,2.010619298,19.89436789,400,0.20672
122,208,0.08,0.1,0.5,20,7.824046010856292,1.6094379124341003,500,166.66666669999998,2.7122,0.02244,100.0,2.010619298,49.73591972,400,0.21697600000000003
37,90,0.04,0.0,0.2,10,7.824046010856292,1.6094379124341003,500,166.66666669999998,4.7643,0.0367,10.0,0.251327412,39.78873577,100,0.19057200000000002
16,40,0.04,0.0,0.2,5,5.298317366548036,0.0,200,66.66666667,7.0081,0.11218,2.5,0.050265482,49.73591972,25,0.280324
169,268,0.08,0.2,0.2,15,5.298317366548036,0.0,200,66.66666667,2.3487,0.03188,22.5,0.40212386,55.95290968,225,0.187896
168,267,0.08,0.2,0.2,10,5.298317366548036,0.0,200,66.66666667,1.4416,0.02314,10.0,0.40212386,24.86795986,100,0.115328
80,152,0.04,0.1,0.2,10,5.298317366548036,0.0,200,66.66666667,9.7957,0.08736000000000001,10.0,0.050265482,198.9436789,100,0.391828
81,153,0.04,0.1,0.5,5,5.298317366548036,0.0,200,66.66666667,8.4774,0.13008,6.25,0.050265482,124.3397993,25,0.339096
16,40,0.04,0.0,0.2,5,5.298317366548036,0.0,200,66.66666667,7.0081,0.11218,2.5,0.050265482,49.73591972,25,0.280324
171,271,0.08,0.2,0.5,15,5.298317366548036,0.0,200,66.66666667,4.5202,0.0599,56.25,0.40212386,139.88227419999998,225,0.361616
167,265,0.08,0.2,0.1,15,5.298317366548036,0.0,200,66.66666667,1.5098,0.0203,11.25,0.40212386,27.97645484,225,0.120784
82,154,0.08,0.1,0.1,15,5.298317366548036,0.0,200,66.66666667,1.8846,0.0289,11.25,0.40212386,27.97645484,225,0.150768
78,150,0.04,0.1,0.1,10,5.298317366548036,0.0,200,66.66666667,5.1299,0.045939999999999995,5.0,0.050265482,99.47183943,100,0.20519600000000002
80,152,0.04,0.1,0.2,10,5.298317366548036,0.0,200,66.66666667,9.7957,0.08736000000000001,10.0,0.050265482,198.9436789,100,0.391828
100,179,0.04,0.1,0.5,20,7.600902459542082,2.302585092994046,200,66.66666667,10.5663,0.0419,100.0,0.502654825,198.9436789,400,0.422652
185,287,0.04,0.2,0.2,20,7.600902459542082,2.302585092994046,200,66.66666667,3.4234,0.01316,40.0,0.502654825,79.57747155,400,0.136936
186,288,0.04,0.2,0.5,10,7.600902459542082,2.302585092994046,200,66.66666667,2.3533,0.0167,25.0,0.502654825,49.73591972,100,0.094132
186,288,0.04,0.2,0.5,10,7.600902459542082,2.302585092994046,200,66.66666667,2.3533,0.0167,25.0,0.502654825,49.73591972,100,0.094132
98,177,0.04,0.1,0.5,10,7.600902459542082,2.302585092994046,200,66.66666667,3.1456,0.02278,25.0,0.502654825,49.73591972,100,0.125824
183,283,0.04,0.2,0.1,15,7.600902459542082,2.302585092994046,200,66.66666667,1.3655,0.0059,11.25,0.502654825,22.38116387,225,0.05462
98,177,0.04,0.1,0.5,10,7.600902459542082,2.302585092994046,200,66.66666667,3.1456,0.02278,25.0,0.502654825,49.73591972,100,0.125824
