m,v,d,tt,tp,ike,cu,e,lambda,AB,e/cu,lambda_pred
0.2,10,0.04,-2.502989157,-0.9963301059999999,2.3025850930000002,0.0,4.6051701860000005,-1.609437912,-1.6686808309999999,4.6051701860000005,0.16583177
0.1,5,0.04,-2.7063516439999997,-1.8157735119999998,0.22314355100000002,0.0,4.6051701860000005,0.0,-1.6686808309999999,4.6051701860000005,1.0089339
0.5,10,0.08,-2.864002503,-1.3632343,3.218875825,0.0,4.6051701860000005,-1.609437912,-0.97553365,4.6051701860000005,0.20350759
0.5,10,0.08,-2.596687733,-1.138734528,3.218875825,0.0,4.6051701860000005,-2.3025850930000002,-0.97553365,4.6051701860000005,0.102263995
0.1,10,0.04,-2.873160721,-1.4432118630000002,1.609437912,0.0,4.6051701860000005,-2.3025850930000002,-1.6686808309999999,4.6051701860000005,0.105310105
0.2,10,0.08,-3.243680944,-1.820554084,2.3025850930000002,0.0,4.6051701860000005,-2.3025850930000002,-0.97553365,4.6051701860000005,0.102047786
0.5,10,0.08,-2.864002503,-1.3632343,3.218875825,0.0,4.6051701860000005,-1.609437912,-0.97553365,4.6051701860000005,0.20099264
0.5,5,0.04,-1.7610750869999998,-0.817377958,1.832581464,0.0,4.6051701860000005,-2.3025850930000002,-1.6686808309999999,4.6051701860000005,0.09826814
0.5,10,0.08,-2.596687733,-1.138734528,3.218875825,0.0,4.6051701860000005,-2.3025850930000002,-0.97553365,4.6051701860000005,0.10620955
0.2,10,0.04,-2.23792158,-0.779934583,2.3025850930000002,0.0,4.6051701860000005,-2.3025850930000002,-1.6686808309999999,4.6051701860000005,0.10399817
0.5,10,0.08,-2.864002503,-1.3632343,3.218875825,0.0,4.6051701860000005,-1.609437912,-0.97553365,4.6051701860000005,0.19632329
0.2,5,0.04,-2.316481198,-1.3839131980000001,0.916290732,0.0,6.214608097999999,0.0,-0.570068542,6.214608097999999,0.97635716
0.5,5,0.04,-2.786444269,-1.7809144890000002,1.832581464,1.609437912,6.214608097999999,0.0,-0.059242918,4.6051701860000005,0.94376093
0.2,20,0.08,-4.5208290380000005,-2.197288579,3.688879454,1.609437912,6.214608097999999,-1.609437912,0.633904262,4.6051701860000005,0.19040902
0.5,10,0.08,-2.897879873,-1.3556953230000002,3.218875825,0.0,6.214608097999999,-2.3025850930000002,0.123078638,6.214608097999999,0.10559327
0.5,5,0.04,-3.48675527,-2.442215044,1.832581464,1.609437912,6.214608097999999,-2.3025850930000002,-0.059242918,4.6051701860000005,0.10176197
0.2,10,0.04,-3.7567301210000004,-2.093102428,2.3025850930000002,1.609437912,6.214608097999999,-2.3025850930000002,-0.059242918,4.6051701860000005,0.11158633
0.2,15,0.04,-3.6840909369999997,-1.6744245340000001,3.113515309,1.609437912,6.214608097999999,-1.609437912,-0.059242918,4.6051701860000005,0.19714142
0.1,5,0.04,-4.054739308,-2.9178827380000003,0.22314355100000002,0.0,6.214608097999999,-1.609437912,-0.570068542,6.214608097999999,0.1827569
0.2,20,0.04,-3.186408635,-0.9921679609999999,3.688879454,1.609437912,6.214608097999999,-2.3025850930000002,-0.059242918,4.6051701860000005,0.10173293
0.5,15,0.08,-3.702572781,-1.7012462309999998,4.0298060410000005,1.609437912,6.214608097999999,-2.3025850930000002,0.633904262,4.6051701860000005,0.109334596
