m,v,d,tt,tp,ike,cu,e,lambda,cu_pred
0.2,10,0.04,-2.997333554920965,-1.3994039170736101,2.302585092994046,0.0,6.214608098422191,-1.6094379124341005,2.9555686
0.1,15,0.08,-4.0074331902328035,-2.2186852183778547,2.4203681286504293,0.0,6.214608098422191,-1.6094379124341005,4.2705965
0.1,20,0.08,-3.833211825003856,-1.902413973346991,2.9957322735539913,0.0,6.214608098422191,-1.6094379124341005,7.78824
0.2,15,0.08,-3.611918412977808,-1.7826966608193124,3.1135153092103742,0.0,6.214608098422191,-1.6094379124341005,3.926029
0.2,15,0.04,-4.135166556742356,-2.0571948447331083,3.1135153092103742,1.6094379124341005,7.824046010856294,-1.6094379124341005,8.1060915
0.2,20,0.04,-3.918041077753709,-1.6053861319940024,3.688879454113936,1.6094379124341005,7.824046010856294,-1.6094379124341005,5.888697
0.2,20,0.08,-4.706096104578052,-2.339913198260045,3.688879454113936,1.6094379124341005,7.824046010856294,-1.6094379124341005,10.5135
0.5,15,0.08,-4.3614400010654935,-2.1877575315633067,4.0298060410845284,1.6094379124341005,7.824046010856294,-1.6094379124341005,10.807045
0.5,20,0.08,-4.1566455884194795,-1.8279422415998847,4.605170185988092,1.6094379124341005,7.824046010856294,-1.6094379124341005,4.919263
0.1,15,0.04,-5.210306489225324,-2.9789931575497146,2.4203681286504293,2.302585092994046,8.517193191416238,-1.6094379124341005,20.9316
0.2,20,0.04,-5.306349538245301,-2.8023389027929864,3.688879454113936,3.218875824868201,9.433483923290392,-1.6094379124341005,28.530375
