m,v,d,tt,tp,ike,cu,e,lambda,AB,e/cu,cu_pred,exp(cu)
0.1,15,0.04,-3.6156289924,-1.6707602776,2.4203681287,1.6094379124,7.8240460109,0,1.0393693702,6.2146080984,4.949976,
0.5,10,0.04,-3.3022574338,-1.6185997542,3.2188758249,1.6094379124,7.8240460109,-2.302585093,1.0393693702,6.2146080984,5.2834888,
0.5,10,0.04,-4.6885517949,-2.8481401973,3.2188758249,3.2188758249,7.8240460109,-1.6094379124,1.550194994,4.605170186,25.58191,
0.2,15,0.04,-4.8769789093,-2.7118775159,3.1135153092,3.2188758249,7.8240460109,-2.302585093,1.550194994,4.605170186,24.560038,
0.5,5,0.04,-3.7115341447,-2.63839355,1.8325814637,1.6094379124,7.8240460109,-2.302585093,1.0393693702,6.2146080984,4.935439,
0.5,15,0.08,-4.3614400011,-2.1877575316,4.0298060411,1.6094379124,7.8240460109,-1.6094379124,1.7325165508,6.2146080984,5.3879604,
0.5,10,0.08,-3.0618720761,-1.4979323165,3.2188758249,0,5.2983173665,-1.6094379124,-0.5700685422,5.2983173665,1.017516,
0.5,15,0.08,-2.8150787739,-1.0171724037,4.0298060411,0,5.2983173665,-1.6094379124,-0.5700685422,5.2983173665,1.0198563,
0.5,15,0.08,-2.8150787739,-1.0171724037,4.0298060411,0,5.2983173665,-1.6094379124,-0.5700685422,5.2983173665,1.0198563,
0.2,5,0.04,-3.3159375377,-2.3230327283,0.9162907319,0,5.2983173665,-1.6094379124,-1.2632157228,5.2983173665,1.088133,
0.1,15,0.08,-3.8971343929,-2.1137514526,2.4203681287,0,5.2983173665,-1.6094379124,-0.5700685422,5.2983173665,1.0134727,
0.2,5,0.04,-2.1876505549,-1.2718092019,0.9162907319,0,5.2983173665,0,-1.2632157228,5.2983173665,0.9744218,
0.1,5,0.04,-3.9633162998,-2.8405078846,0.2231435513,0,5.2983173665,-1.6094379124,-1.2632157228,5.2983173665,1.0027553,
0.1,10,0.04,-3.0804190817,-1.5837896591,1.6094379124,0,5.2983173665,-2.302585093,-1.2632157228,5.2983173665,0.9860522,
0.2,10,0.08,-3.379044577,-1.923272329,2.302585093,0,5.2983173665,-2.302585093,-0.5700685422,5.2983173665,0.9903976,
0.1,10,0.04,-3.0804190817,-1.5837896591,1.6094379124,0,5.2983173665,-2.302585093,-1.2632157228,5.2983173665,0.9860522,
0.1,15,0.08,-3.5439136839,-1.8920130475,2.4203681287,0,5.2983173665,-2.302585093,-0.5700685422,5.2983173665,0.9846651,
0.5,20,0.08,-4.2601630469,-1.9068740683,4.605170186,2.302585093,7.6009024595,-2.302585093,1.7325165508,5.2983173665,9.601779,
0.5,20,0.04,-3.1724694521,-0.8612061336,4.605170186,2.302585093,7.6009024595,-2.302585093,1.0393693702,5.2983173665,10.18036,
0.2,10,0.04,-4.8060631284,-2.9552047224,2.302585093,2.302585093,7.6009024595,-1.6094379124,1.0393693702,5.2983173665,10.001321,
0.1,20,0.04,-3.9190476204,-1.6883079746,2.9957322736,2.302585093,7.6009024595,0,1.0393693702,5.2983173665,9.818971,
0.5,15,0.04,-2.697703909,-0.6736975567,4.0298060411,2.302585093,7.6009024595,0,1.0393693702,5.2983173665,10.150634,
0.2,20,0.04,-3.3393499783,-1.0961832412,3.6888794541,2.302585093,7.6009024595,0,1.0393693702,5.2983173665,9.687747,
0.5,20,0.08,-4.2601630469,-1.9068740683,4.605170186,2.302585093,7.6009024595,-2.302585093,1.7325165508,5.2983173665,9.601779,
0.2,15,0.04,-3.5240432117,-1.4972169833,3.1135153092,2.302585093,7.6009024595,0,1.0393693702,5.2983173665,9.643021,
0.2,10,0.04,-4.8060631284,-2.9552047224,2.302585093,2.302585093,7.6009024595,-1.6094379124,1.0393693702,5.2983173665,10.001321,
0.2,20,0.04,-4.3305733531,-1.9882416156,3.6888794541,2.302585093,7.6009024595,-1.6094379124,1.0393693702,5.2983173665,10.323945,
0.2,20,0.04,-4.3305733531,-1.9882416156,3.6888794541,2.302585093,7.6009024595,-1.6094379124,1.0393693702,5.2983173665,10.323945,
0.2,20,0.04,-4.1720899108,-1.8262018568,3.6888794541,2.302585093,8.5171931914,-2.302585093,1.7325165508,6.2146080984,10.706835,
0.5,15,0.04,-2.8231244089,-0.7873963235,4.0298060411,2.302585093,8.5171931914,0,1.7325165508,6.2146080984,10.067072,
0.1,15,0.04,-5.2103064892,-2.9789931575,2.4203681287,2.302585093,8.5171931914,-1.6094379124,1.7325165508,6.2146080984,10.1261425,
0.5,20,0.08,-4.3852317656,-2.0055667396,4.605170186,2.302585093,8.5171931914,-2.302585093,2.4256637313,6.2146080984,10.090431,
0.2,15,0.04,-3.626092466,-1.5869135024,3.1135153092,2.302585093,8.5171931914,0,1.7325165508,6.2146080984,9.511656,
0.5,20,0.08,-3.6321211203,-1.3966841485,4.605170186,2.302585093,8.5171931914,0,2.4256637313,6.2146080984,9.783599,
0.5,15,0.04,-3.5459919666,-1.462294584,4.0298060411,3.2188758249,8.5171931914,0,1.9556601021,5.2983173665,24.964764,
0.1,20,0.04,-4.7172196898,-2.3702217417,2.9957322736,2.302585093,8.5171931914,-2.302585093,1.7325165508,6.2146080984,10.012408,
0.5,15,0.04,-3.5459919666,-1.462294584,4.0298060411,3.2188758249,8.5171931914,0,1.9556601021,5.2983173665,24.964764,
0.5,10,0.04,-3.1113676172,-1.453511667,3.2188758249,2.302585093,8.5171931914,0,1.7325165508,6.2146080984,9.603386,
0.5,20,0.04,-3.3104430184,-0.9733585616,4.605170186,3.2188758249,8.5171931914,0,1.9556601021,5.2983173665,24.369572,
0.5,15,0.04,-4.723953722,-2.5666027235,4.0298060411,3.2188758249,9.4334839233,-1.6094379124,2.6488072826,6.2146080984,25.224894,
0.5,15,0.04,-3.649658741,-1.5598290359,4.0298060411,3.2188758249,9.4334839233,0,2.6488072826,6.2146080984,23.9367,
0.2,15,0.04,-4.3772381179,-2.2918825699,3.1135153092,3.2188758249,9.4334839233,0,2.6488072826,6.2146080984,22.40531,
0.2,20,0.04,-5.3063495382,-2.8023389028,3.6888794541,3.2188758249,9.4334839233,-1.6094379124,2.6488072826,6.2146080984,24.917461,
0.2,15,0.04,-5.1464550172,-2.8853364563,3.1135153092,3.2188758249,9.4334839233,-2.302585093,2.6488072826,6.2146080984,24.245262,
0.2,20,0.04,-4.9589920609,-2.5246791952,3.6888794541,3.2188758249,9.4334839233,-2.302585093,2.6488072826,6.2146080984,25.138313,
0.2,20,0.04,-4.9589920609,-2.5246791952,3.6888794541,3.2188758249,9.4334839233,-2.302585093,2.6488072826,6.2146080984,25.138313,
0.2,20,0.04,-4.1983726326,-1.8521211256,3.6888794541,3.2188758249,9.4334839233,0,2.6488072826,6.2146080984,22.763689,
0.5,10,0.04,-3.9040548358,-2.1904714312,3.2188758249,3.2188758249,9.4334839233,0,2.6488072826,6.2146080984,21.109846,
0.2,15,0.04,-5.1464550172,-2.8853364563,3.1135153092,3.2188758249,9.4334839233,-2.302585093,2.6488072826,6.2146080984,24.245262,
0.5,15,0.04,-3.649658741,-1.5598290359,4.0298060411,3.2188758249,9.4334839233,0,2.6488072826,6.2146080984,23.9367,
0.2,10,0.04,-2.437717767,-0.936932311,2.302585093,0,5.2983173665,-2.302585093,-1.2632157228,5.2983173665,0.96542585,
0.5,15,0.08,-3.0102369598,-1.1357660195,4.0298060411,0,6.2146080984,-1.6094379124,0.1230786383,6.2146080984,1.0262204,
0.5,5,0.04,-2.0396056332,-1.0814720259,1.8325814637,0,5.2983173665,-2.302585093,-1.2632157228,5.2983173665,1.0021024,
0.5,10,0.08,-2.8640025029,-1.3632342999,3.2188758249,0,4.605170186,-1.6094379124,-0.9755336504,4.605170186,1.0058503,
0.1,10,0.04,-2.8731607212,-1.4432118628,1.6094379124,0,4.605170186,-2.302585093,-1.6686808309,4.605170186,0.9989804,
0.5,15,0.08,-3.0102369598,-1.1357660195,4.0298060411,0,6.2146080984,-1.6094379124,0.1230786383,6.2146080984,1.0262204,
0.5,5,0.04,-2.6864844232,-1.6917548709,1.8325814637,0,6.2146080984,-1.6094379124,-0.5700685422,6.2146080984,1.1510423,
0.2,10,0.08,-3.6045383057,-2.0846390252,2.302585093,0,4.605170186,-1.6094379124,-0.9755336504,4.605170186,1.0235387,
0.1,5,0.04,-3.7115341447,-2.6731851138,0.2231435513,0,6.2146080984,-2.302585093,-0.5700685422,6.2146080984,0.9522519,
0.5,5,0.04,-2.2610593462,-1.2858772439,1.8325814637,0,6.2146080984,-2.302585093,-0.5700685422,6.2146080984,0.99932253,
0.1,5,0.04,-2.827171632,-1.9139542222,0.2231435513,0,5.2983173665,0,-1.2632157228,5.2983173665,0.97920316,
0.5,20,0.08,-3.7969101983,-1.5279685306,4.605170186,1.6094379124,7.8240460109,-2.302585093,1.7325165508,6.2146080984,5.213299,
0.1,10,0.04,-4.495419322,-2.7453160263,1.6094379124,1.6094379124,6.907755279,-2.302585093,0.3462221896,5.2983173665,4.8495235,
0.2,20,0.04,-3.5834389417,-1.3028653933,3.6888794541,1.6094379124,7.8240460109,-2.302585093,1.0393693702,6.2146080984,5.3480577,
0.1,10,0.04,-4.6011781647,-2.8276448768,1.6094379124,1.6094379124,7.8240460109,-2.302585093,1.0393693702,6.2146080984,4.867983,
0.5,10,0.04,-3.4647763633,-1.7879427621,3.2188758249,1.6094379124,6.907755279,-1.6094379124,0.3462221896,5.2983173665,5.0975933,
0.5,20,0.08,-3.5078921203,-1.3203568191,4.605170186,1.6094379124,6.2146080984,-2.302585093,0.6339042621,4.605170186,5.1975594,
0.2,15,0.04,-3.6840909374,-1.674424534,3.1135153092,1.6094379124,6.2146080984,-1.6094379124,-0.0592429185,4.605170186,5.3774896,
0.5,5,0.04,-2.8942593046,-1.8798565263,1.8325814637,1.6094379124,6.907755279,0,0.3462221896,5.2983173665,4.770232,
0.5,20,0.08,-3.6542848093,-1.4118337321,4.605170186,1.6094379124,6.907755279,-2.302585093,1.0393693702,5.2983173665,4.989139,
0.5,20,0.08,-3.7969101983,-1.5279685306,4.605170186,1.6094379124,7.8240460109,-2.302585093,1.7325165508,6.2146080984,5.213299,
0.2,10,0.04,-3.2074414472,-1.5701402792,2.302585093,1.6094379124,6.907755279,0,0.3462221896,5.2983173665,4.771224,
