m,v,d,tt,tp,ike,cu,e,lambda,AB,e/cu,e_pred
0.5,20,0.08,-4.260163046917041,-1.906874068330165,4.605170185988092,2.302585092994046,7.600902459542082,-2.302585092994045,1.7325165507515192,5.298317366548036,2000.4513
0.2,15,0.04,-3.5240432116610014,-1.4972169833196347,3.1135153092103742,2.302585092994046,7.600902459542082,0.0,1.0393693701915738,5.298317366548036,1998.6703
0.2,10,0.04,-4.806063128367481,-2.955204722377923,2.302585092994046,2.302585092994046,7.600902459542082,-1.6094379124341005,1.0393693701915738,5.298317366548036,1999.4243
0.2,20,0.04,-4.330573353084967,-1.9882416155887737,3.688879454113936,2.302585092994046,7.600902459542082,-1.6094379124341005,1.0393693701915738,5.298317366548036,2000.9923
0.2,20,0.04,-4.330573353084967,-1.9882416155887737,3.688879454113936,2.302585092994046,7.600902459542082,-1.6094379124341005,1.0393693701915738,5.298317366548036,2000.6708
0.2,20,0.04,-4.172089910846953,-1.826201856784271,3.688879454113936,2.302585092994046,8.517193191416238,-2.302585092994045,1.7325165507515192,6.214608098422191,5001.0664
0.5,15,0.04,-2.8231244089476752,-0.7873963234630617,4.0298060410845284,2.302585092994046,8.517193191416238,0.0,1.7325165507515192,6.214608098422191,4995.6465
0.1,15,0.04,-5.210306489225324,-2.9789931575497146,2.4203681286504293,2.302585092994046,8.517193191416238,-1.6094379124341005,1.7325165507515192,6.214608098422191,5000.547
0.5,20,0.08,-4.38523176562283,-2.005566739565278,4.605170185988092,2.302585092994046,8.517193191416238,-2.302585092994045,2.4256637313114644,6.214608098422191,4997.4194
0.2,15,0.04,-3.626092466015172,-1.5869135023554282,3.1135153092103742,2.302585092994046,8.517193191416238,0.0,1.7325165507515192,6.214608098422191,5001.6196
0.5,20,0.08,-3.6321211202953267,-1.3966841485199435,4.605170185988092,2.302585092994046,8.517193191416238,0.0,2.4256637313114644,6.214608098422191,4997.0522
0.5,15,0.04,-3.5459919665653885,-1.462294583989758,4.0298060410845284,3.218875824868201,8.517193191416238,0.0,1.955660102065729,5.298317366548036,4999.1255
0.1,20,0.04,-4.717219689796714,-2.370221741709857,2.9957322735539913,2.302585092994046,8.517193191416238,-2.302585092994045,1.7325165507515192,6.214608098422191,4998.1104
0.5,15,0.04,-3.5459919665653885,-1.462294583989758,4.0298060410845284,3.218875824868201,8.517193191416238,0.0,1.955660102065729,5.298317366548036,4999.8076
0.5,10,0.04,-3.1113676171529154,-1.4535116669996773,3.218875824868201,2.302585092994046,8.517193191416238,0.0,1.7325165507515192,6.214608098422191,4992.584
0.5,20,0.04,-3.3104430183936917,-0.9733585615816759,4.605170185988092,3.218875824868201,8.517193191416238,0.0,1.955660102065729,5.298317366548036,4998.077
0.5,15,0.04,-4.7239537219780585,-2.566602723518228,4.0298060410845284,3.218875824868201,9.433483923290392,-1.6094379124341005,2.6488072826256737,6.214608098422191,12491.898
0.5,15,0.04,-3.6496587409606547,-1.5598290358820843,4.0298060410845284,3.218875824868201,9.433483923290392,0.0,2.6488072826256737,6.214608098422191,12491.601
0.2,15,0.04,-4.377238117942085,-2.29188256986091,3.1135153092103742,3.218875824868201,9.433483923290392,0.0,2.6488072826256737,6.214608098422191,12487.61
0.2,20,0.04,-5.306349538245301,-2.8023389027929864,3.688879454113936,3.218875824868201,9.433483923290392,-1.6094379124341005,2.6488072826256737,6.214608098422191,12494.412
0.2,15,0.04,-5.1464550172387895,-2.885336456331625,3.1135153092103742,3.218875824868201,9.433483923290392,-2.302585092994045,2.6488072826256737,6.214608098422191,12487.943
0.2,20,0.04,-4.958992060944417,-2.524679195172684,3.688879454113936,3.218875824868201,9.433483923290392,-2.302585092994045,2.6488072826256737,6.214608098422191,12500.24
0.2,20,0.04,-4.958992060944417,-2.524679195172684,3.688879454113936,3.218875824868201,9.433483923290392,-2.302585092994045,2.6488072826256737,6.214608098422191,12515.808
0.2,20,0.04,-4.198372632646149,-1.8521211256229266,3.688879454113936,3.218875824868201,9.433483923290392,0.0,2.6488072826256737,6.214608098422191,12483.681
0.5,10,0.04,-3.904054835778969,-2.190471431243588,3.218875824868201,3.218875824868201,9.433483923290392,0.0,2.6488072826256737,6.214608098422191,12496.938
0.2,15,0.04,-5.1464550172387895,-2.885336456331625,3.1135153092103742,3.218875824868201,9.433483923290392,-2.302585092994045,2.6488072826256737,6.214608098422191,12490.659
0.5,15,0.04,-3.6496587409606547,-1.5598290358820843,4.0298060410845284,3.218875824868201,9.433483923290392,0.0,2.6488072826256737,6.214608098422191,12503.257
0.2,10,0.04,-2.437717766985542,-0.9369323109920202,2.302585092994046,0.0,5.298317366548036,-2.302585092994045,-1.263215722802472,5.298317366548036,199.7886
0.5,15,0.08,-3.010236959756873,-1.135766019501941,4.0298060410845284,0.0,6.214608098422191,-1.6094379124341005,0.1230786383174188,6.214608098422191,500.35995
0.5,5,0.04,-2.0396056331826364,-1.0814720258505206,1.8325814637483104,0.0,5.298317366548036,-2.302585092994045,-1.263215722802472,5.298317366548036,199.96817
0.5,10,0.08,-2.8640025028760965,-1.36323429992886,3.218875824868201,0.0,4.605170185988092,-1.6094379124341005,-0.9755336503506908,4.605170185988092,99.96658
0.1,10,0.04,-2.87316072116581,-1.4432118628050323,1.6094379124341005,0.0,4.605170185988092,-2.302585092994045,-1.6686808309106362,4.605170185988092,100.094795
0.5,15,0.08,-3.010236959756873,-1.135766019501941,4.0298060410845284,0.0,6.214608098422191,-1.6094379124341005,0.1230786383174188,6.214608098422191,499.73022
0.5,5,0.04,-2.686484423187649,-1.6917548709233177,1.8325814637483104,0.0,6.214608098422191,-1.6094379124341005,-0.5700685422425265,6.214608098422191,499.74976
0.2,10,0.08,-3.6045383056801854,-2.0846390252271623,2.302585092994046,0.0,4.605170185988092,-1.6094379124341005,-0.9755336503506908,4.605170185988092,99.997574
0.1,5,0.04,-3.711534144678743,-2.673185113776131,0.22314355131420974,0.0,6.214608098422191,-2.302585092994045,-0.5700685422425265,6.214608098422191,500.25977
0.5,5,0.04,-2.2610593461655477,-1.2858772439474209,1.8325814637483104,0.0,6.214608098422191,-2.302585092994045,-0.5700685422425265,6.214608098422191,499.93854
0.1,5,0.04,-2.827171632010073,-1.9139542222140475,0.22314355131420974,0.0,5.298317366548036,0.0,-1.263215722802472,5.298317366548036,200.13557
0.5,20,0.08,-3.7969101983276414,-1.5279685306365474,4.605170185988092,1.6094379124341005,7.824046010856294,-2.302585092994045,1.7325165507515192,6.214608098422191,2500.5046
0.1,10,0.04,-4.4954193220289715,-2.7453160262946987,1.6094379124341005,1.6094379124341005,6.907755278982138,-2.302585092994045,0.3462221896316285,5.298317366548036,1000.4818
0.2,20,0.04,-3.583438941655939,-1.3028653933022891,3.688879454113936,1.6094379124341005,7.824046010856294,-2.302585092994045,1.0393693701915738,6.214608098422191,2500.08
0.1,10,0.04,-4.6011781647185535,-2.8276448767878617,1.6094379124341005,1.6094379124341005,7.824046010856294,-2.302585092994045,1.0393693701915738,6.214608098422191,2499.1301
0.5,10,0.04,-3.4647763633050266,-1.7879427621299298,3.218875824868201,1.6094379124341005,6.907755278982138,-1.6094379124341005,0.3462221896316285,5.298317366548036,1000.3764
0.5,20,0.08,-3.5078921203331186,-1.320356819068612,4.605170185988092,1.6094379124341005,6.214608098422191,-2.302585092994045,0.6339042620834094,4.605170185988092,500.4974
0.2,15,0.04,-3.6840909373821393,-1.6744245339536534,3.1135153092103742,1.6094379124341005,6.214608098422191,-1.6094379124341005,-0.059242918476535865,4.605170185988092,499.7319
0.5,5,0.04,-2.894259304623357,-1.879856526264133,1.8325814637483104,1.6094379124341005,6.907755278982138,0.0,0.3462221896316285,5.298317366548036,1000.0459
0.5,20,0.08,-3.654284809349437,-1.4118337321089889,4.605170185988092,1.6094379124341005,6.907755278982138,-2.302585092994045,1.0393693701915738,5.298317366548036,1000.76904
0.5,20,0.08,-3.7969101983276414,-1.5279685306365474,4.605170185988092,1.6094379124341005,7.824046010856294,-2.302585092994045,1.7325165507515192,6.214608098422191,2499.7703
0.2,10,0.04,-3.207441447242537,-1.5701402791623242,2.302585092994046,1.6094379124341005,6.907755278982138,0.0,0.3462221896316285,5.298317366548036,998.78253
0.2,15,0.04,-4.230851806876764,-2.152545710120815,3.1135153092103742,2.302585092994046,7.600902459542082,-2.302585092994045,1.0393693701915738,5.298317366548036,2003.3265
0.5,15,0.04,-2.6977039090480663,-0.6736975567386321,4.0298060410845284,2.302585092994046,7.600902459542082,0.0,1.0393693701915738,5.298317366548036,1999.9783
0.2,10,0.04,-3.695300021916859,-2.0228646302129585,2.302585092994046,2.302585092994046,6.907755278982138,0.0,0.6339042620834094,4.605170185988092,1000.8659
0.2,15,0.04,-3.5240432116610014,-1.4972169833196347,3.1135153092103742,2.302585092994046,7.600902459542082,0.0,1.0393693701915738,5.298317366548036,1998.6893
0.2,15,0.04,-3.3991993789994823,-1.390945159335318,3.1135153092103742,2.302585092994046,6.907755278982138,0.0,0.6339042620834094,4.605170185988092,1000.0249
0.1,15,0.04,-5.210306489225324,-2.9789931575497146,2.4203681286504293,2.302585092994046,8.517193191416238,-1.6094379124341005,1.7325165507515192,6.214608098422191,5002.1924
0.2,10,0.04,-4.884884088790695,-3.023884864973583,2.302585092994046,2.302585092994046,8.517193191416238,-1.6094379124341005,1.7325165507515192,6.214608098422191,5000.976
0.5,10,0.04,-3.8912404662456175,-2.195705731366949,3.218875824868201,2.302585092994046,6.907755278982138,-1.6094379124341005,0.6339042620834094,4.605170185988092,999.93713
0.2,15,0.04,-4.230851806876764,-2.152545710120815,3.1135153092103742,2.302585092994046,7.600902459542082,-2.302585092994045,1.0393693701915738,5.298317366548036,2000.6918
0.5,10,0.04,-3.597942459121834,-1.9139542222140475,3.218875824868201,2.302585092994046,6.907755278982138,-2.302585092994045,0.6339042620834094,4.605170185988092,999.982
0.5,15,0.04,-3.520656821699484,-1.4647489971137009,4.0298060410845284,2.302585092994046,6.907755278982138,-1.6094379124341005,0.6339042620834094,4.605170185988092,1000.3554
0.2,20,0.04,-4.947660494934867,-2.555466462572212,3.688879454113936,3.218875824868201,7.824046010856294,-1.6094379124341005,1.5501949939575643,4.605170185988092,2497.6733
0.2,15,0.04,-5.014643315493794,-2.80313040735248,3.1135153092103742,3.218875824868201,8.517193191416238,-2.302585092994045,1.955660102065729,5.298317366548036,4995.58
0.5,20,0.04,-4.147745338949217,-1.790456318697663,4.605170185988092,3.218875824868201,7.824046010856294,-1.6094379124341005,1.5501949939575643,4.605170185988092,2500.333
0.5,10,0.04,-4.530062713501286,-2.726132708652976,3.218875824868201,3.218875824868201,8.517193191416238,-2.302585092994045,1.955660102065729,5.298317366548036,4999.855
0.5,15,0.04,-4.3900588063711465,-2.2778924804036738,4.0298060410845284,3.218875824868201,7.824046010856294,-1.6094379124341005,1.5501949939575643,4.605170185988092,2499.6057
0.5,10,0.04,-4.688551794927141,-2.8481401972811335,3.218875824868201,3.218875824868201,7.824046010856294,-1.6094379124341005,1.5501949939575643,4.605170185988092,2497.74
0.2,15,0.04,-5.014643315493794,-2.80313040735248,3.1135153092103742,3.218875824868201,8.517193191416238,-2.302585092994045,1.955660102065729,5.298317366548036,4997.3857
0.2,20,0.04,-4.108037889354104,-1.7506098483831658,3.688879454113936,3.218875824868201,8.517193191416238,0.0,1.955660102065729,5.298317366548036,4998.883
0.5,15,0.04,-4.4014133484740725,-2.265751842948697,4.0298060410845284,3.218875824868201,9.433483923290392,-2.302585092994045,2.6488072826256737,6.214608098422191,12496.867
0.2,20,0.04,-4.947660494934867,-2.555466462572212,3.688879454113936,3.218875824868201,7.824046010856294,-1.6094379124341005,1.5501949939575643,4.605170185988092,2501.899
0.2,15,0.04,-4.876978909283582,-2.7118775159365973,3.1135153092103742,3.218875824868201,7.824046010856294,-2.302585092994045,1.5501949939575643,4.605170185988092,2497.7231
0.1,20,0.04,-3.9190476203651103,-1.6883079745918854,2.9957322735539913,2.302585092994046,7.600902459542082,0.0,1.0393693701915738,5.298317366548036,1998.2595
0.2,15,0.04,-4.294748626566822,-2.1941253847985465,3.1135153092103742,3.218875824868201,8.517193191416238,0.0,1.955660102065729,5.298317366548036,4999.2783
0.2,10,0.04,-3.695300021916859,-2.0228646302129585,2.302585092994046,2.302585092994046,6.907755278982138,0.0,0.6339042620834094,4.605170185988092,999.9505
0.1,5,0.04,-2.7063516444666287,-1.8157735120989429,0.22314355131420974,0.0,4.605170185988092,0.0,-1.6686808309106362,4.605170185988092,99.99467
0.5,10,0.04,-2.3534574233678023,-0.7289235921358533,3.218875824868201,1.6094379124341005,6.907755278982138,0.0,0.3462221896316285,5.298317366548036,999.75934
0.5,5,0.04,-2.7864442685302215,-1.7809144891878927,1.8325814637483104,1.6094379124341005,6.214608098422191,0.0,-0.059242918476535865,4.605170185988092,500.1567
0.2,20,0.04,-4.198372632646149,-1.8521211256229266,3.688879454113936,3.218875824868201,9.433483923290392,0.0,2.6488072826256737,6.214608098422191,12491.326
0.5,10,0.04,-2.3534574233678023,-0.7289235921358533,3.218875824868201,1.6094379124341005,6.907755278982138,0.0,0.3462221896316285,5.298317366548036,999.87897
0.1,5,0.04,-2.827171632010073,-1.9139542222140475,0.22314355131420974,0.0,5.298317366548036,0.0,-1.263215722802472,5.298317366548036,199.87912
0.1,10,0.04,-3.658156281471096,-2.0406516905650425,1.6094379124341005,1.6094379124341005,6.214608098422191,0.0,-0.059242918476535865,4.605170185988092,499.60538
0.2,10,0.04,-3.0778103845895983,-1.4659438127953708,2.302585092994046,1.6094379124341005,6.214608098422191,0.0,-0.059242918476535865,4.605170185988092,499.84366
0.1,15,0.04,-4.190415030972834,-2.155131071529167,2.4203681286504293,1.6094379124341005,6.907755278982138,-2.302585092994045,0.3462221896316285,5.298317366548036,999.86084
0.5,20,0.08,-3.654284809349437,-1.4118337321089889,4.605170185988092,1.6094379124341005,6.907755278982138,-2.302585092994045,1.0393693701915738,5.298317366548036,1000.364
0.5,20,0.08,-4.38523176562283,-2.005566739565278,4.605170185988092,2.302585092994046,8.517193191416238,-2.302585092994045,2.4256637313114644,6.214608098422191,5001.3574
0.1,20,0.04,-3.9867465516240825,-1.7600515217437784,2.9957322735539913,1.6094379124341005,6.907755278982138,-2.302585092994045,0.3462221896316285,5.298317366548036,999.2741
0.1,20,0.04,-3.8022721414690266,-1.618337395621133,2.9957322735539913,1.6094379124341005,6.214608098422191,-2.302585092994045,-0.059242918476535865,4.605170185988092,500.11237
0.1,15,0.08,-3.6698614482781737,-2.002954687026424,2.4203681286504293,0.0,6.214608098422191,-2.302585092994045,0.1230786383174188,6.214608098422191,499.55203
0.1,15,0.04,-4.190415030972834,-2.155131071529167,2.4203681286504293,1.6094379124341005,6.907755278982138,-2.302585092994045,0.3462221896316285,5.298317366548036,1000.3354
0.1,15,0.04,-4.022954566135428,-2.0286267617620752,2.4203681286504293,1.6094379124341005,6.214608098422191,-2.302585092994045,-0.059242918476535865,4.605170185988092,500.04343
0.5,10,0.08,-2.7598699498320065,-1.2565019497822223,3.218875824868201,0.0,5.298317366548036,-2.302585092994045,-0.5700685422425265,5.298317366548036,200.16974
0.5,10,0.04,-4.530062713501286,-2.726132708652976,3.218875824868201,3.218875824868201,8.517193191416238,-2.302585092994045,1.955660102065729,5.298317366548036,4997.758
0.2,20,0.08,-4.19571305661039,-1.9920462383993367,3.688879454113936,1.6094379124341005,6.214608098422191,-2.302585092994045,0.6339042620834094,4.605170185988092,500.35233
0.1,10,0.04,-3.1359143041538533,-1.6566343472650749,1.6094379124341005,0.0,4.605170185988092,-1.6094379124341005,-1.6686808309106362,4.605170185988092,100.021416
0.1,5,0.04,-3.7550192566184815,-2.729866454383106,0.22314355131420974,0.0,4.605170185988092,-1.6094379124341005,-1.6686808309106362,4.605170185988092,100.14039
0.2,10,0.04,-4.884884088790695,-3.023884864973583,2.302585092994046,2.302585092994046,8.517193191416238,-1.6094379124341005,1.7325165507515192,6.214608098422191,5001.0806
0.2,10,0.04,-2.997333554920965,-1.3994039170736101,2.302585092994046,0.0,6.214608098422191,-1.6094379124341005,-0.5700685422425265,6.214608098422191,500.17197
0.1,15,0.04,-5.132802928070463,-2.9073551629365784,2.4203681286504293,2.302585092994046,7.600902459542082,-1.6094379124341005,1.0393693701915738,5.298317366548036,1999.164
0.2,10,0.04,-4.054739307629742,-2.3795957353602946,2.302585092994046,1.6094379124341005,6.214608098422191,-1.6094379124341005,-0.059242918476535865,4.605170185988092,500.36163
0.1,5,0.04,-3.963316299815697,-2.840507884644404,0.22314355131420974,0.0,5.298317366548036,-1.6094379124341005,-1.263215722802472,5.298317366548036,200.07079
0.2,20,0.08,-4.520829037554341,-2.1972885793843067,3.688879454113936,1.6094379124341005,6.214608098422191,-1.6094379124341005,0.6339042620834094,4.605170185988092,500.26404
0.1,15,0.08,-4.0074331902328035,-2.2186852183778547,2.4203681286504293,0.0,6.214608098422191,-1.6094379124341005,0.1230786383174188,6.214608098422191,499.85986
0.5,20,0.08,-4.717219689796714,-2.2409257126073183,4.605170185988092,2.302585092994046,8.517193191416238,-1.6094379124341005,2.4256637313114644,6.214608098422191,4994.5127
0.5,20,0.08,-3.780117934548208,-1.551319959099452,4.605170185988092,1.6094379124341005,6.214608098422191,-1.6094379124341005,0.6339042620834094,4.605170185988092,500.20203
0.2,5,0.04,-2.772588722239781,-1.8292619793379679,0.9162907318741552,0.0,4.605170185988092,-2.302585092994045,-1.6686808309106362,4.605170185988092,99.98623
